time_s,episodes_done,total_steps,avg_return_window,avg_len_window,fps,mean_vx_b,timeout_pct,non_timeout_pct
30.017,1054,4816896,-2740.959196,545.090000,160471.34,0.001072,0.00,100.00
60.029,8643,9601024,-2684.562828,537.440000,159940.79,0.000500,85.64,14.36
90.069,10982,14581760,-4357.516646,860.480000,161894.80,-0.002216,45.62,54.38
120.078,18235,19333120,-3837.161832,759.500000,161005.17,0.000463,85.15,14.85
150.112,21430,24272896,-4352.303894,865.300000,161698.51,0.000292,57.68,42.32
180.159,28241,28917760,-4322.345044,858.430000,160512.57,0.000430,84.25,15.75
210.189,34542,33619968,-3985.450532,794.430000,159950.90,-0.000088,81.87,18.13
240.226,38531,38461440,-4491.235099,890.250000,160105.52,0.000039,69.59,30.41
270.265,44543,43139072,-4321.314809,856.760000,159617.79,-0.002332,80.71,19.29
300.286,48877,47849472,-4479.164198,886.970000,159346.40,-0.000683,72.82,27.18
330.295,54709,52543488,-4081.009698,810.380000,159080.47,-0.000749,81.28,18.72
360.301,59208,57278464,-4530.441418,901.990000,158974.09,0.000538,74.64,25.36
390.302,64936,61947904,-4462.694352,885.060000,158717.95,0.002476,81.21,18.79
420.346,70595,66691072,-4499.644767,892.490000,158657.67,-0.000304,78.85,21.15
450.378,75419,71417856,-4685.739991,922.710000,158572.97,0.003217,75.77,24.23
480.421,80940,76144640,-4383.681912,870.720000,158495.78,-0.000259,79.31,20.69
510.471,85701,80666624,-4412.517002,877.780000,158023.79,-0.000668,76.01,23.99
540.531,89680,83902464,-4333.787713,901.630000,155222.17,-0.004509,78.46,21.54
570.570,92202,86802432,-3429.643356,982.520000,152132.84,-0.008470,94.81,5.19
600.641,94956,89694208,-1771.230817,982.430000,149330.69,-0.002626,98.80,1.20
630.654,98890,92495872,-290.012145,705.510000,146666.64,0.004040,84.32,15.68
660.696,102205,95354880,-150.323699,823.270000,144324.84,0.007165,75.32,24.68
690.697,105091,98189312,-118.112987,938.340000,142159.79,0.009146,89.74,10.26
720.717,108325,101072896,-95.524186,956.220000,140239.37,0.013370,96.82,3.18
