time_s,episodes_done,total_steps,avg_return_window,avg_len_window,fps,mean_vx_b,timeout_pct,non_timeout_pct
30.018,1378,5898240,-3077.656996,661.140000,196490.89,0.000233,0.00,100.00
60.039,9206,10633216,-3071.497848,653.610000,177106.24,0.000260,85.89,14.11
90.073,11511,15572992,-3993.716493,857.560000,172892.26,0.000275,44.99,55.01
120.091,18932,20250624,-3684.277101,781.900000,168627.45,-0.000115,85.65,14.35
150.092,25654,24985600,-3524.007535,748.460000,166468.11,0.002080,81.62,18.38
180.131,29120,29884416,-3928.500157,839.770000,165903.43,-0.001932,65.29,34.71
210.152,35381,34562048,-3953.286144,840.190000,164462.38,-0.000699,82.45,17.55
240.193,39354,39378944,-4178.953375,890.360000,163946.79,0.000194,70.55,29.45
270.200,45468,44072960,-3998.611496,848.600000,163112.07,0.001293,82.15,17.85
300.219,49816,48873472,-4146.435847,883.510000,162792.88,0.000043,71.43,28.57
330.269,55807,53583872,-4259.424246,907.580000,162243.23,-0.000248,81.16,18.84
360.325,61481,58261504,-4093.499507,875.060000,161691.50,-0.000244,79.84,20.16
390.364,66176,63070208,-4107.002736,881.690000,161567.66,-0.000124,75.76,24.24
420.384,71706,67665920,-3941.976527,847.580000,160962.18,-0.000068,79.93,20.07
450.401,76423,72302592,-4201.448798,891.020000,160529.25,-0.000074,75.10,24.90
480.437,81850,76906496,-4176.823068,890.330000,160076.14,-0.000955,79.29,20.71
510.481,86754,81592320,-4230.812166,903.310000,159834.21,-0.000650,75.94,24.06
540.495,90291,84828160,-3762.801345,1000.000000,156945.41,0.010918,89.45,10.55
570.499,92889,87744512,-2223.635002,1000.000000,153803.04,0.010931,100.00,0.00
600.572,96371,90587136,-599.293876,1000.000000,150834.74,0.002161,100.00,0.00
630.624,98863,93478912,-163.406409,1000.000000,148232.46,0.001894,100.00,0.00
660.702,101487,96346112,-118.342590,1000.000000,145823.77,0.002133,100.00,0.00
690.735,104954,99196928,-98.799078,1000.000000,143610.68,0.002356,100.00,0.00
