time_s,episodes_done,total_steps,avg_return_window,avg_len_window,fps,mean_vx_b,timeout_pct,non_timeout_pct
30.024,1056,4907008,-16.227935,552.940000,163436.92,-0.000795,0.00,100.00
60.026,8768,9773056,-20.737727,667.430000,162813.06,0.000294,84.65,15.35
90.069,11113,14794752,-83.094804,831.660000,164259.85,0.000370,44.39,55.61
120.082,18288,19382272,-96.532554,783.510000,161408.41,-0.000630,85.76,14.24
150.110,21328,24190976,-106.737006,893.350000,161155.35,-0.000351,58.96,41.04
180.154,28110,28770304,-131.034483,882.450000,159698.33,-0.000486,84.80,15.20
210.179,34427,33398784,-90.176944,806.830000,158906.47,0.001912,82.34,17.66
240.216,38285,38207488,-90.232509,888.730000,159054.68,0.000998,68.28,31.72
270.272,44268,42885120,-103.756692,837.380000,158674.03,-0.001245,82.27,17.73
300.289,48534,47620096,-83.551450,899.700000,158580.71,-0.002160,72.34,27.66
330.314,54358,52240384,-104.546528,859.720000,158153.50,-0.000996,81.03,18.97
360.347,58863,56967168,-91.063159,903.230000,158089.84,0.001891,73.91,26.09
390.361,64594,61620224,-76.215304,890.850000,157854.45,0.001415,80.96,19.04
420.401,70171,66256896,-109.454096,848.990000,157604.08,-0.000118,79.82,20.18
450.446,74870,70942720,-119.639953,911.210000,157494.44,0.001095,75.32,24.68
480.454,80359,75579392,-114.596062,923.600000,157308.41,-0.001024,79.29,20.71
510.502,84944,79962112,-139.063810,910.110000,156634.13,-0.001331,75.53,24.47
540.551,89111,83419136,-39.000207,810.760000,154322.54,-0.012108,77.98,22.02
570.558,91721,86212608,58.793410,998.640000,151102.32,-0.109659,88.12,11.88
600.641,94218,89063424,306.492389,1000.000000,148280.67,-0.039952,99.80,0.20
630.673,97710,91955200,635.947524,1000.000000,145804.96,0.037181,99.97,0.03
660.683,100268,94863360,1114.545864,1000.000000,143583.88,0.261495,99.96,0.04
690.765,102810,97673216,1763.945834,1000.000000,141398.54,0.628144,99.45,0.55
720.799,106245,100483072,1752.751764,1000.000000,139405.22,0.459593,99.65,0.35
750.858,108743,103358464,1560.803578,1000.000000,137653.79,0.436599,99.76,0.24
780.888,111313,106160128,2015.581389,1000.000000,135948.01,0.504958,98.91,1.09
810.928,114785,108978176,2617.450424,1000.000000,134386.96,0.575401,99.25,0.75
840.930,117340,111828992,2238.846853,857.190000,132982.53,0.587327,93.62,6.38
870.982,120261,114663424,2556.133909,933.170000,131648.40,0.642679,89.18,10.82
901.015,123768,117473280,2019.283155,891.040000,130378.85,0.703480,90.53,9.47
931.076,126296,120324096,2528.682532,960.280000,129231.28,0.555606,93.67,6.33
961.103,129693,123117568,2524.523078,966.890000,128100.22,0.595951,94.76,5.24
991.134,132723,125935616,2344.214344,874.010000,127062.09,0.735967,87.06,12.94
1021.141,135471,128753664,2493.222163,924.290000,126087.98,0.717155,85.37,14.63
1051.226,138781,131571712,2635.872626,913.360000,125160.29,0.900552,89.85,10.15
1081.276,141876,134389760,3266.462748,900.890000,124288.14,1.215472,82.10,17.90
1111.362,144731,137199616,3688.780126,910.550000,123451.78,1.337722,78.77,21.23
1141.401,147794,140025856,4177.615482,957.940000,122678.91,1.504465,88.25,11.75
1171.410,150800,142835712,4436.776727,925.430000,121934.85,1.619357,86.17,13.83
1201.521,153703,145653760,4887.133271,948.980000,121224.46,1.682495,86.15,13.85
1231.547,156645,148471808,4974.575869,960.880000,120557.17,1.720087,90.21,9.79
1261.561,159567,151265280,5076.167232,961.150000,119903.23,1.783327,93.02,6.98
1291.603,162432,154107904,5331.935575,982.430000,119315.24,1.855581,93.79,6.21
1321.673,165349,156917760,5420.952630,979.850000,118726.60,1.906953,94.38,5.62
1351.741,168349,159752192,5297.424002,951.880000,118182.52,1.926747,91.97,8.03
1381.766,171124,162545664,5656.031010,979.480000,117636.21,1.980908,94.77,5.23
1411.835,174088,165371904,5385.809495,954.010000,117132.60,1.998868,93.32,6.68
1441.867,177061,168206336,5584.605115,940.110000,116658.71,2.033158,93.34,6.66
1471.918,179824,171008000,5833.819126,978.990000,116180.41,2.023328,91.97,8.03
1501.957,182878,173842432,5655.438306,967.230000,115743.95,2.015260,91.98,8.02
1532.012,185811,176668672,5342.729297,951.920000,115318.05,2.065609,92.19,7.81
1562.049,188627,179511296,5653.165664,954.410000,114920.42,2.146367,89.95,10.05
1592.084,191778,182370304,6158.566541,981.940000,114548.15,2.210642,91.27,8.73
1622.121,194679,185212928,5949.533765,946.660000,114179.46,2.258359,91.62,8.38
1652.141,197436,188063744,6280.479158,964.030000,113830.30,2.274279,93.14,6.86
1682.189,200543,190906368,6446.343389,979.180000,113486.85,2.280422,94.82,5.18
1712.252,203448,193757184,6456.986292,983.230000,113159.24,2.301054,94.11,5.89
1742.316,206158,196591616,6431.593000,973.070000,112833.52,2.298899,94.69,5.31
1772.406,209263,199442432,6372.961194,986.970000,112526.37,2.275122,95.72,4.28
1802.440,212171,202276864,6434.652419,981.760000,112223.92,2.289327,95.19,4.81
1832.512,215089,205119488,6327.848246,975.870000,111933.50,2.314526,96.37,3.63
1862.517,217888,207937536,6602.157651,999.820000,111643.32,2.298621,96.75,3.25
1892.581,220791,210771968,6455.952959,983.910000,111367.49,2.295387,95.87,4.13
1922.618,223669,213598208,6593.810098,996.460000,111097.60,2.308353,96.91,3.09
1952.681,226489,216440832,6572.044380,994.010000,110842.88,2.303696,96.74,3.26
1982.760,229389,219275264,6382.557521,967.020000,110590.94,2.334557,96.21,3.79
2012.824,232299,222117888,6434.709229,968.090000,110351.38,2.371987,96.15,3.85
2042.851,235172,224944128,6691.560332,991.650000,110112.84,2.386927,95.30,4.70
2072.924,238038,227770368,6439.591212,955.360000,109878.80,2.396402,96.06,3.94
