time_s,episodes_done,total_steps,avg_return_window,avg_len_window,fps,mean_vx_b,timeout_pct,non_timeout_pct
30.014,1109,4857856,-36.771927,544.700000,161851.06,0.000565,0.00,100.00
60.041,8714,9682944,-16.853084,504.590000,161273.33,0.002478,84.43,15.57
90.084,11091,14598144,-45.395095,844.590000,162049.95,-0.000675,45.84,54.16
120.137,18257,19136512,-70.022744,792.490000,159288.96,-0.001338,85.32,14.68
150.167,21005,23486464,-138.074892,899.830000,156402.56,0.000181,57.50,42.50
180.208,27454,27672576,-66.360413,816.260000,153559.44,0.001889,85.13,14.87
210.244,30729,32006144,-105.210479,873.970000,152233.07,-0.000172,65.40,34.60
240.266,36743,36216832,-56.774872,849.520000,150736.13,0.001266,83.68,16.32
270.323,40425,40525824,-89.434919,905.380000,149916.27,0.000445,70.23,29.77
300.326,46091,44769280,-79.252541,849.370000,149069.15,0.000678,83.00,17.00
330.353,49990,48988160,-120.013842,893.630000,148290.15,-0.001165,71.79,28.21
360.420,55286,53002240,-58.910571,884.360000,147057.08,-0.000593,81.26,18.74
390.441,59417,57262080,-96.658792,899.840000,146660.03,0.000037,74.36,25.64
420.451,64661,61497344,-113.439145,885.420000,146265.27,-0.001091,81.45,18.55
450.480,70029,65773568,-71.888868,816.410000,146007.59,0.000157,79.94,20.06
480.524,74207,70074368,-34.563896,871.480000,145829.14,0.003013,73.62,26.38
510.564,79318,74326016,-120.567797,866.640000,145576.29,0.000339,79.26,20.74
540.611,83676,78610432,-120.492801,893.670000,145410.24,0.002180,76.65,23.35
570.679,88346,82518016,-89.944704,836.350000,144596.24,0.001009,79.02,20.98
600.725,91239,85303296,9.351714,983.770000,142000.46,-0.096528,74.60,25.40
630.775,93612,88104960,280.764683,1000.000000,139677.26,-0.021712,99.75,0.25
660.793,96802,90939392,655.828742,1000.000000,137621.63,0.074759,100.00,0.00
690.822,99679,93798400,1302.426420,1000.000000,135777.93,0.411947,100.00,0.00
720.832,102091,96583680,1982.097278,1000.000000,133989.23,0.745216,99.83,0.17
750.896,105259,99385344,2035.927258,1000.000000,132355.75,0.467897,99.97,0.03
780.939,108025,102178816,1680.830923,993.040000,130841.02,0.451795,99.96,0.04
811.007,110502,104996864,1692.154097,1000.000000,129464.78,0.312251,100.00,0.00
841.056,113682,107741184,1526.716370,1000.000000,128102.29,0.275673,99.97,0.03
871.086,116376,110534656,1405.401492,1000.000000,126892.94,0.440666,98.52,1.48
901.170,118823,113328128,1363.409346,1000.000000,125756.63,0.432733,99.75,0.25
931.213,122111,116121600,1591.705493,992.780000,124699.34,0.575257,99.67,0.33
961.255,124728,118874112,2493.414087,978.900000,123665.48,0.905205,98.78,1.22
991.326,127257,121667584,3123.629282,988.370000,122732.22,0.567629,94.86,5.14
1021.393,130532,124420096,2178.509850,1000.000000,121814.16,0.307915,98.93,1.07
1051.446,133091,127197184,1578.083867,988.660000,120973.56,0.587505,98.36,1.64
1081.536,135911,129990656,1592.138678,960.550000,120190.76,0.487190,89.11,10.89
1111.566,139263,132759552,2540.723468,958.000000,119434.72,0.390559,93.65,6.35
1141.592,141920,135544832,1872.237335,940.700000,118733.17,0.361709,87.73,12.27
1171.657,144782,138321920,2254.408608,935.090000,118056.67,0.189597,90.57,9.43
1201.739,148031,141090816,2274.143817,966.060000,117405.54,0.213100,91.26,8.74
1231.792,150750,143884288,2272.031840,924.170000,116808.94,0.314674,86.98,13.02
1261.835,153706,146604032,2384.585041,889.750000,116183.23,0.435802,85.76,14.24
1291.910,156946,149323776,2804.745856,937.310000,115583.77,0.620533,87.41,12.59
1321.963,159685,152084480,2983.623316,911.020000,115044.40,0.869945,82.40,17.60
1351.984,162745,154877952,3717.090380,939.130000,114556.03,0.912230,81.93,18.07
1382.067,165991,157646848,3510.443093,911.560000,114065.98,0.974605,84.04,15.96
1412.128,168803,160440320,3622.732491,932.760000,113616.01,0.872819,80.41,19.59
1442.167,171919,163209216,3456.987342,884.730000,113169.47,0.722088,78.61,21.39
1472.256,175271,166027264,3178.340988,912.590000,112770.65,0.764401,73.81,26.19
1502.309,178240,168779776,3068.321023,867.000000,112346.91,0.746443,66.08,33.92
1532.379,181390,171540480,3219.368520,898.930000,111943.90,0.855379,66.20,33.80
1562.417,184770,174309376,3222.412352,843.880000,111563.96,0.864284,61.53,38.47
1592.436,187904,177094656,3207.232656,846.860000,111209.94,1.055354,59.35,40.65
1622.490,190917,179888128,3607.687478,874.550000,110871.63,1.198980,59.22,40.78
1652.568,194089,182689792,4112.958411,882.900000,110549.05,1.238756,67.60,32.40
1682.583,197094,185442304,3902.735606,904.220000,110212.90,1.399569,72.65,27.35
1712.601,199869,188227584,4745.223031,951.010000,109907.45,1.667974,82.35,17.65
1742.633,203096,191012864,4288.540424,864.870000,109611.61,1.875545,79.99,20.01
1772.719,206368,193798144,5222.553064,910.860000,109322.55,1.889958,75.76,24.24
1802.739,209396,196591616,5031.878383,865.050000,109051.60,1.928592,68.17,31.83
1832.781,212750,199360512,5059.495308,874.060000,108774.87,1.912986,70.46,29.54
1862.781,216010,202121216,4720.778707,826.940000,108505.07,1.935059,68.48,31.52
1892.851,219105,204939264,4876.472100,846.140000,108270.13,2.015780,68.97,31.03
1922.870,222427,207831040,5374.669518,895.470000,108083.75,2.075794,75.50,24.50
1952.920,225705,210788352,5291.491703,848.110000,107934.96,2.160566,76.08,23.92
1982.967,228938,213737472,5653.098672,896.960000,107786.70,2.188881,74.79,25.21
2013.042,232213,216694784,5592.765942,879.420000,107645.43,2.253108,79.43,20.57
